Year;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062
WindOffshore;160;174.8148148;191.1111111;207.4074074;222.2222222;238.5185185;253.3333333;269.6296296;285.1851852;300.952381;316.4814815;332.0804989;347.8665911;363.4789035;379.2555812;394.8229904;410.5025407;426.1638472;441.8600888;457.5350444;473.1851331;488.8565979;504.5126342;520.197892;535.8651693;551.5328993;567.196108;582.8643231;598.535985;614.2046582;629.8741713;645.5397331;661.2083605;676.8772747;692.5466363;708.2149272;723.882741;739.5510619;755.2194883;770.8884109;786.5567829;802.2250637;817.8933376;833.5618287;849.2303799;864.8988294;880.5672282;896.2355752;911.9040244;927.572492
WindOnshore;3850;4529.848485;5171.515152;5813.181818;6454.848485;7096.515152;7737.121212;8378.787879;9030.113636;9666.761364;10309.52381;10952.45062;11595.50658;12238.62124;12881.6751;13524.10384;14165.7114;14809.45523;15452.20256;16094.87864;16737.5082;17380.14094;18022.84512;18665.68637;19308.54743;19951.10074;20593.82106;21236.56358;21879.31683;22522.06245;23164.7845;23807.48463;24450.1989;25092.95659;25735.68522;26378.408;27021.12906;27663.85349;28306.58367;28949.31636;29592.0441;30234.76598;30877.49312;31520.22163;32162.95026;32805.67783;33448.4042;34091.13052;34733.85803;35376.58626
Photovoltaic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biomass;3240;3265.511811;3268.839439;3297.678877;3326.518316;3355.357754;3384.197193;3413.036631;3431.021666;3458.910354;3489.388139;3515.571984;3541.517333;3567.389465;3593.461854;3620.152553;3648.067188;3674.171376;3700.033025;3726.646742;3753.349596;3780.054919;3806.656638;3833.085199;3859.418135;3886.072839;3912.733075;3939.256005;3965.756007;3992.26318;4018.803724;4045.378556;4071.949531;4098.464896;4124.986259;4151.533526;4178.085488;4204.633697;4231.173271;4257.707414;4284.24576;4310.793393;4337.33859;4363.878819;4390.418295;4416.95907;4443.501793;4470.045149;4496.587179;4523.127732
